"Reference";"Qty";"Part Number";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Manufacturer"
"BT1";"1";"a15042300ux0145";"DNP";"DNP";"";"";"robot:battery26650_holderOnly";"Uxcell"
"BT2";"1";"26650-5000-1";"DNP";"DNP";"";"";"robot:battery26650";"Suprise Collection"
"C1,C33,C34,C76,C78,C87,C93";"7";"GRM188R61A226ME15D";"22uF";"";"";"";"robot:C_0603_1608Metric";"Murata"
"C2,C3,C18,C19";"4";"GRM1555C1H270JA01J";"27pF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C4,C8,C10,C21,C22,C29,C55,C69,C88,C94,C95,C105,C126";"13";"GRM155R61E105KA12D";"1uF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C24,C32,C35,C36,C37,C38,C39,C40,C41,C44,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C70,C71,C72,C73,C85,C92,C102,C103,C104";"39";"CL05A104KA5NNNC";"0.1uF";"";"";"";"robot:C_0402_1005Metric";"Samsung"
"C17,C20,C25,C27,C42,C43,C67,C68,C75,C77,C80,C129,C130,C132,C134,C136";"16";"GRM188R61E106KA73J";"10uF";"";"";"";"robot:C_0603_1608Metric";"Murata"
"C23,C124";"2";"GRM188R61E475KE11D";"4.7uF";"";"";"";"robot:C_0603_1608Metric";"Murata"
"C26,C56";"2";"CL10B474KO8NNNC";"0.47uF";"";"";"";"robot:C_0603_1608Metric";"Samsung"
"C28";"1";"CL10A225KP8NNNC";"2.2uF";"";"";"";"robot:C_0603_1608Metric";"Samsung"
"C30,C31";"2";"CL10B224KA8NNNC";"0.22uF";"";"";"";"robot:C_0603_1608Metric";"Samsung"
"C74,C86,C89,C90";"4";"GRM31CD80J107MEA8K";"100uF";"DNP";"";"";"robot:CP_Elec_APXJ100ARA271MF61G";"Murata"
"C79,C91,C96,C106,C107,C108";"6";"GRM31CD80J107MEA8K";"100uF";"DNP";"";"";"robot:C_1206_3216Metric";"Murata"
"C81";"1";"CL21A476MRYNNNE";"47uF";"";"";"";"robot:C_0805_2012Metric";"Samsung Electro-Mechanics"
"C82,C83,C109,C125,C127";"5";"GRM31CD80J107MEA8K";"100uF";"";"";"";"robot:C_1206_3216Metric";"Murata"
"C84,C115,C118";"3";"885012205067";"10nF";"";"";"";"robot:C_0402_1005Metric";"Würth Elektronik"
"C99";"1";"GRM155R61E105KA12D";"1uF";"DNP";"";"";"robot:C_0402_1005Metric";"Murata"
"C110,C117,C120";"3";"GRM155R71H223KA12J";"22nF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C111";"1";"GCM155R71H152KA37D";"1.5nF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C112,C122";"2";"GCM155R71H332KA37J";"3.3nF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C113,C114,C116,C119,C121";"5";"GRM155R62A104KE14D";"0.1uF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C123,C128";"2";"GRM155R71H473KE14D";"47nF";"";"";"";"robot:C_0402_1005Metric";"Murata"
"C131";"1";"GRM31CD80J107MEA8K";"100uF";"";"";"";"robot:C_1210_3225Metric";"Murata"
"C133,C135,C138";"3";"GMC32X5R107M16NT";"100uF";"DNP";"";"";"robot:C_1210_3225Metric";"Cal-Chip Electronics, Inc."
"C137";"1";"GMC32X5R107M16NT";"100uF";"";"";"";"robot:C_1210_3225Metric";"Cal-Chip Electronics, Inc."
"D1";"1";"B12H1USD-20D000234U1930";"LED-RED";"";"";"";"robot:B12H1UYG-20D000134U1930";"Harvatek Corporation"
"D2";"1";"B12H1UYG-20D000134U1930";"LED-YG";"";"";"";"robot:B12H1UYG-20D000134U1930";"Harvatek Corporation"
