Ref,Val,Package,PosX,PosY,Rot,Side
"C26","27pF","C_0402_1005Metric",70.750000,59.250000,0.000000,bottom
"C27","27pF","C_0402_1005Metric",65.270000,59.250000,180.000000,bottom
"C70","0.1uF","C_0402_1005Metric",53.750000,67.380000,-90.000000,bottom
"C72","0.1uF","C_0402_1005Metric",57.550000,67.380000,-90.000000,bottom
"C73","10nF","C_0402_1005Metric",52.450000,65.525000,90.000000,bottom
"C76","0.1uF","C_0402_1005Metric",54.700000,67.380000,-90.000000,bottom
"C78","22nF","C_0402_1005Metric",53.400000,65.525000,90.000000,bottom
"C79","10nF","C_0402_1005Metric",47.550000,65.550000,90.000000,bottom
"C80","0.1uF","C_0402_1005Metric",56.600000,67.380000,-90.000000,bottom
"C81","22nF","C_0402_1005Metric",46.600000,65.550000,90.000000,bottom
"C84","0.1uF","C_0402_1005Metric",55.650000,67.380000,-90.000000,bottom
"C85","3.3nF","C_0402_1005Metric",51.500000,65.550000,-90.000000,bottom
"C88","47nF","C_0402_1005Metric",45.650000,65.550000,90.000000,bottom
"C91","4.7uF","C_0603_1608Metric",55.450000,59.500000,180.000000,bottom
"C92","100uF","C_1206_3216Metric",57.300000,61.450000,180.000000,bottom
"C93","1uF","C_0402_1005Metric",54.900000,58.300000,180.000000,bottom
"C95","47nF","C_0402_1005Metric",54.350000,65.525000,90.000000,bottom
"C96","0.1uF","C_0402_1005Metric",13.495207,34.016169,0.000000,bottom
"C115","0.1uF","C_0402_1005Metric",9.100000,40.500000,0.000000,bottom
"C123","0.1uF","C_0402_1005Metric",10.595207,34.016169,180.000000,bottom
"C126","10uF","C_0603_1608Metric",8.400000,38.700000,0.000000,bottom
"J1","USB4151-GF-C","GCT_USB4151-GF-C_REVA",40.000000,7.150000,180.000000,bottom
"J6","Conn_01x06_MountingPin","CONN_B6B-ZR-SM4-TF_JST",46.500000,27.825000,-90.000000,bottom
"J7","Conn_01x06_MountingPin","CONN_B6B-ZR-SM4-TF_JST",33.500000,27.825000,90.000000,bottom
"R5","0","R_0603_1608Metric",63.075000,38.700000,0.000000,bottom
