Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","DNP","battery26650_holderOnly",40.000000,50.165000,0.000000,bottom
"C7","0.1uF","C_0402_1005Metric",13.495207,34.016169,0.000000,bottom
"C11","0.1uF","C_0402_1005Metric",9.100000,40.500000,0.000000,bottom
"C14","0.1uF","C_0402_1005Metric",10.595207,34.016169,180.000000,bottom
"C17","10uF","C_0603_1608Metric",8.400000,38.700000,0.000000,bottom
"C18","27pF","C_0402_1005Metric",70.750000,59.250000,0.000000,bottom
"C19","27pF","C_0402_1005Metric",65.270000,59.250000,180.000000,bottom
"C37","0.1uF","C_0402_1005Metric",18.200000,39.100000,90.000000,bottom
"C113","0.1uF","C_0402_1005Metric",53.750000,67.380000,-90.000000,bottom
"C114","0.1uF","C_0402_1005Metric",57.550000,67.380000,-90.000000,bottom
"C115","10nF","C_0402_1005Metric",52.450000,65.525000,90.000000,bottom
"C116","0.1uF","C_0402_1005Metric",54.700000,67.380000,-90.000000,bottom
"C117","22nF","C_0402_1005Metric",53.400000,65.525000,90.000000,bottom
"C118","10nF","C_0402_1005Metric",47.550000,65.550000,90.000000,bottom
"C119","0.1uF","C_0402_1005Metric",56.600000,67.380000,-90.000000,bottom
"C120","22nF","C_0402_1005Metric",46.600000,65.550000,90.000000,bottom
"C121","0.1uF","C_0402_1005Metric",55.650000,67.380000,-90.000000,bottom
"C122","3.3nF","C_0402_1005Metric",51.500000,65.550000,-90.000000,bottom
"C123","47nF","C_0402_1005Metric",45.650000,65.550000,90.000000,bottom
"C124","4.7uF","C_0603_1608Metric",55.450000,59.500000,180.000000,bottom
"C125","100uF","C_1206_3216Metric",57.300000,61.450000,180.000000,bottom
"C126","1uF","C_0402_1005Metric",54.900000,58.300000,180.000000,bottom
"C128","47nF","C_0402_1005Metric",54.350000,65.525000,90.000000,bottom
"J3","Conn_01x06_MountingPin","CONN_B6B-ZR-SM4-TF_JST",33.500000,27.825000,90.000000,bottom
"J4","USB4151-GF-C","USB_Holes",40.000000,7.150000,180.000000,bottom
"J5","Conn_01x06_MountingPin","CONN_B6B-ZR-SM4-TF_JST",46.500000,27.825000,-90.000000,bottom
"J9","Conn_01x16","castellated_pads_basepcb",39.900000,15.600000,180.000000,bottom
"R23","100","R_0603_1608Metric",21.800000,39.100000,0.000000,bottom
"R90","0","R_0603_1608Metric",63.075000,38.700000,0.000000,bottom
"SW1","SW_SPST","MOLEX_picoblade_SMT_2pin",40.000000,29.825000,90.000000,bottom
"U26","TPD1E05U06","TPD1E05U06DPYR",70.650000,60.150000,0.000000,bottom
"U27","TPD1E05U06","TPD1E05U06DPYR",65.800000,60.150000,180.000000,bottom
"U28","TPD1E05U06","TPD1E05U06DPYR",70.800000,61.950000,0.000000,bottom
"U29","TPD1E05U06","TPD1E05U06DPYR",66.300000,61.950000,180.000000,bottom
