Ref;Val;Package;PosX;PosY;Rot;Side
C1;22uF;C_0603_1608Metric;46.1;38.3;0;top
C2;27pF;C_0402_1005Metric;9.88;29.49;-90;top
C3;27pF;C_0402_1005Metric;11.99;26.85;180;top
C4;1uF;C_0402_1005Metric;63.0168;40.6897;180;top
C5;0.1uF;C_0402_1005Metric;6.379793;54.952869;90;top
C6;0.1uF;C_0402_1005Metric;11.6972;41.7301;90;top
C8;1uF;C_0402_1005Metric;13.6784;41.7301;90;top
C9;0.1uF;C_0402_1005Metric;12.7132;41.7301;90;top
C10;1uF;C_0402_1005Metric;14.6436;41.7301;90;top
C12;0.1uF;C_0402_1005Metric;17.9684;38.8345;0;top
C13;0.1uF;C_0402_1005Metric;20.195207;34.527131;0;top
C15;0.1uF;C_0402_1005Metric;8.47;41.3;90;top
C16;0.1uF;C_0402_1005Metric;15.6088;41.7301;90;top
C20;10uF;C_0603_1608Metric;63.063892;49.296169;-90;top
C21;1uF;C_0402_1005Metric;51.07;49.5;0;top
C22;1uF;C_0402_1005Metric;47.9;52.9;0;top
C23;4.7uF;C_0603_1608Metric;44.65;53.9;90;top
C24;0.1uF;C_0402_1005Metric;38;37;90;top
C25;10uF;C_0603_1608Metric;42.05;36.9;180;top
C26;0.47uF;C_0603_1608Metric;40.844892;35.156169;180;top
C27;10uF;C_0603_1608Metric;48.496892;37.541169;90;top
C28;2.2uF;C_0603_1608Metric;40.844892;30.584169;180;top
C29;1uF;C_0402_1005Metric;49.75;37;-90;top
C30;0.22uF;C_0603_1608Metric;49.861892;34.267169;90;top
C31;0.22uF;C_0603_1608Metric;49.861892;31.219169;90;top
C32;0.1uF;C_0402_1005Metric;43.511892;28.077131;90;top
C33;22uF;C_0603_1608Metric;45.543892;28.077131;90;top
C34;22uF;C_0603_1608Metric;47.25;28.077131;90;top
C35;0.1uF;C_0402_1005Metric;23.178201;33.8561;0;top
C36;0.1uF;C_0402_1005Metric;18.5044;35.9897;0;top
C38;0.1uF;C_0402_1005Metric;25.7;41.5;90;top
C39;0.1uF;C_0402_1005Metric;28.88;36.5;0;top
C40;0.1uF;C_0402_1005Metric;50.2;15.18;90;top
C41;0.1uF;C_0402_1005Metric;38.8;15.6;90;top
C42;10uF;C_0603_1608Metric;49;15.475;90;top
C43;10uF;C_0603_1608Metric;37.6;14.975;90;top
C44;0.1uF;C_0402_1005Metric;13.7175;21.42;-90;top
C55;1uF;C_0402_1005Metric;17.81;43.0838;-90;top
C56;0.47uF;C_0603_1608Metric;19.2;44;-90;top
C57;0.1uF;C_0402_1005Metric;15.4948;44.7244;180;top
C58;0.1uF;C_0402_1005Metric;15.4948;47.7724;180;top
C59;0.1uF;C_0402_1005Metric;17.3124;51.5733;90;top
C60;0.1uF;C_0402_1005Metric;19.5984;50.8113;0;top
C61;0.1uF;C_0402_1005Metric;21.859;51.5733;-90;top
C62;0.1uF;C_0402_1005Metric;21.8804;54.5997;90;top
C63;0.1uF;C_0402_1005Metric;21.9;56.48;90;top
C64;0.1uF;C_0402_1005Metric;24.6784;42.554931;-90;top
C65;0.1uF;C_0402_1005Metric;26.2024;45.527131;-90;top
C66;0.1uF;C_0402_1005Metric;26.2;43.62;-90;top
C67;10uF;C_0603_1608Metric;38.1746;50.7044;90;top
C68;10uF;C_0603_1608Metric;39.695207;50.727131;90;top
C69;1uF;C_0402_1005Metric;35.954199;40.6348;-90;top
C70;0.1uF;C_0402_1005Metric;34.430199;40.6348;-90;top
C71;0.1uF;C_0402_1005Metric;34.836599;50.6932;90;top
C72;0.1uF;C_0402_1005Metric;29.75;46.7;180;top
C73;0.1uF;C_0402_1005Metric;37;42.1;-90;top
C74;100uF;CP_Elec_APXJ100ARA271MF61G;43.75;20.75;180;top
C75;10uF;C_0603_1608Metric;30.85;44.0872;-90;top
C76;22uF;C_0603_1608Metric;47.25;41;-90;top
C77;10uF;C_0603_1608Metric;39.995207;46.427131;90;top
