Comment;Designator;Footprint;JLCPCB Part #?optional?
ECS-120-8-36-CKM-TR3;Y1;robot:XTAL_ECS-120-8-36-CKM-TR3;ECS-120-8-36-CKM-TR3
MAX6006AEUR+T;U33;easyeda2kicad:SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR;MAX6006AEUR+T
MCP6541T-I/OT;U32,U34;easyeda2kicad:SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR;MCP6541T-I/OT
TPS3808G01DBVR;U30,U31;easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR;TPS3808G01DBVR
RP2040;U29;robot:RP2040-QFN-56;SC0914(13)
MAX77976EFD+;U28;robot:MAX77976;MAX77976EFD+
STWLC38JRM;U27;robot:BGA40C40P5X8_213X333X57;STWLC38JRM
DRV8830DRCR;U25,U26;robot:IC_DRV8830DRCR;DRV8830DRCR
W25Q128JVS;U24;robot:SOIC-8_5.23x5.23mm_P1.27mm;W25Q128JVSIQ
MAX77857BEWB+;U23;robot:WLP-35_7x5_2.828x2.028mm;MAX77857BEWB+
BQ27742YZFR-G1;U22;robot:Texas_Instruments-YZF0015-0-0-MFG;BQ27742YZFR-G1
LSF0102DCTR;U21;robot:SOP65P400X130-8N;LSF0102DCTR
AP33771DKZ-13;U20;robot:AP33771DKZ13;AP33771DKZ-13
NCP3901;U14;robot:NCP3901;NCP3901FCCT1G
TPS61253AYFFT;U13;robot:Texas_Instruments-YFF0009-BGA9C40P3X3_119X129X62;TPS61253AYFFT
TPS22950CDDCR;U12;DDC6_TEX;TPS22950CDDCR
MAX77958EWV+T;U11;robot:MAX77958EWV&plus_T;MAX77958EWV+T
TVS0500DRV;U6,U16;robot:TVS0500DRVR;TVS0500DRVR
TPD1E05U06;U4,U5,U7,U8,U9,U10,U15,U17,U18,U19;robot:TPD1E05U06DPYR;TPD1E05U06DPYR
XC6206PxxxMR;U3;Package_TO_SOT_SMD:SOT-23-3;C49195704
TPS63021DSJR;U2;robot:IC_TPS63021DSJR;C202140
AP2502KTR-G1;U1;robot:SOT95P280X145-6N;AP2502KTR-G1
SMD_0603;TP3,TP4,TP5,TP6,TP7,TP8,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP27,TP28,TP31,TP32,TP33,TP34,TP35,TP36;robot:TestPoint_SMD_0603;RCUCTE
