Ref,Val,Package,PosX,PosY,Rot,Side
"C45","27pF","C_0402_1005Metric",14.500000,3.230000,90.000000,top
"C46","27pF","C_0402_1005Metric",13.500000,3.230000,90.000000,top
"C47","1uF","C_0402_1005Metric",15.500000,3.230000,90.000000,top
"C48","1uF","C_0402_1005Metric",16.000000,0.250000,0.000000,top
"C49","2.2uF","C_0603_1608Metric",13.500000,-3.250000,-90.000000,top
"C50","1uF","C_0402_1005Metric",16.020000,1.250000,0.000000,top
"C51","1uF","C_0402_1005Metric",12.500000,3.230000,90.000000,top
"C52","1uF","C_0402_1005Metric",16.020000,-0.750000,0.000000,top
"C53","1uF","C_0402_1005Metric",10.500000,3.230000,90.000000,top
"C54","1uF","C_0402_1005Metric",11.500000,3.230000,90.000000,top
"C97","4.7uF","C_0603_1608Metric",-6.500000,-0.700000,-90.000000,top
"C100","4.7uF","C_0603_1608Metric",-27.200000,-4.050000,-90.000000,top
"C101","4.7uF","C_0603_1608Metric",-35.200000,4.500000,90.000000,top
"J4","USB4151-GF-C","GCT_USB4151-GF-C_REVA",0.000000,-1.100000,0.000000,top
"J9","Conn_01x16","Castellated 1x16 2.54mm",0.100000,6.750000,0.000000,top
"L4","0.47uH","Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG",-34.410000,-2.275500,-90.000000,top
"R1","100","R_0402_1005Metric",-13.760000,-1.730000,90.000000,top
"R2","422","R_0402_1005Metric",-9.645000,2.205000,0.000000,top
"R12","100k","R_0603_1608Metric",-30.450000,-0.775000,90.000000,top
"R13","DNP","R_0603_1608Metric",-28.950000,-0.750000,90.000000,top
"R32","10","R_0402_1005Metric",11.000000,-3.740000,90.000000,top
"R33","10","R_0402_1005Metric",12.000000,-3.740000,90.000000,top
"R34","2.2k","R_0603_1608Metric",5.200000,4.950000,-90.000000,top
"R35","2.2k","R_0603_1608Metric",6.700000,4.950000,-90.000000,top
"R36","200k","R_0603_1608Metric",8.175000,1.250000,0.000000,top
"R37","649k","R_0603_1608Metric",15.500000,-4.425000,-90.000000,top
"R38","120k","R_0603_1608Metric",8.175000,-0.250000,180.000000,top
"R39","649k","R_0603_1608Metric",17.000000,-4.425000,-90.000000,top
"R40","120k","R_0603_1608Metric",8.175000,-1.750000,180.000000,top
"R57","0","R_0603_1608Metric",-33.600000,4.500000,90.000000,top
"R73","0","R_0805_2012Metric",-8.500000,-0.750000,90.000000,top
"R74","0","R_0805_2012Metric",-12.612500,-4.250000,180.000000,top
"R75","0","R_0603_1608Metric",-27.500000,3.750000,-90.000000,top
"R95","0","R_0603_1608Metric_3pin_Switch",-17.380000,-0.220000,90.000000,top
"S4","JS202011JCQN","SW_JS202011JCQN",34.800000,0.750000,-90.000000,top
"TP3","SMD_0603","TestPoint_SMD_0603",4.500000,1.750000,90.000000,top
"TP4","SMD_0603","TestPoint_SMD_0603",-3.000000,-5.250000,0.000000,top
"TP5","SMD_0603","TestPoint_SMD_0603",-14.480000,2.735000,0.000000,top
"TP6","SMD_0603","TestPoint_SMD_0603",8.000000,-4.250000,180.000000,top
"TP7","SMD_0603","TestPoint_SMD_0603",8.700000,3.750000,0.000000,top
"TP8","SMD_0603","TestPoint_SMD_0603",36.100000,-5.100000,0.000000,top
"TP13","SMD_0603","TestPoint_SMD_0603",2.500000,-5.250000,0.000000,top
"TP14","SMD_0603","TestPoint_SMD_0603",5.000000,-5.250000,0.000000,top
"TP15","SMD_0603","TestPoint_SMD_0603",33.350000,-5.100000,0.000000,top
"U1","TPS22950CDDCR","DDC6_TEX",-11.390001,-1.070800,90.000000,top
"U11","MAX77958EWV+T","MAX77958EWV&plus_T",12.750000,0.250000,0.000000,top
"U15","TPD1E05U06","TPD1E05U06DPYR",2.500000,-3.750000,90.000000,top
"U17","TPS61253AYFFT","Texas_Instruments-YFF0009-BGA9C40P3X3_119X129X62",-29.800000,-4.050000,0.000000,top
"U19","TPD1E05U06","TPD1E05U06DPYR",5.000000,-3.750000,90.000000,top
"U20","TPD1E05U06","TPD1E05U06DPYR",6.100000,-3.300000,-90.000000,top
"U21","TPD1E05U06","TPD1E05U06DPYR",-0.500000,3.100000,90.000000,top
"U22","TPD1E05U06","TPD1E05U06DPYR",-3.500000,-3.750000,90.000000,top
"U23","TPD1E05U06","TPD1E05U06DPYR",0.500000,3.100000,90.000000,top
"U24","TVS0500DRV","TVS0500DRVR",-6.650000,2.225000,-90.000000,top
