Value;Reference;Footprint;Part Number;Qty;Manufacturer
27pF;C45,C46;robot:C_0402_1005Metric;GRM1555C1H270JA01J;2;Murata
1uF;C47,C48,C50,C51,C52,C53,C54;robot:C_0402_1005Metric;GRM155R61E105KA12D;7;Murata
2.2uF;C49;robot:C_0603_1608Metric;CL10A225KP8NNNC;1;Samsung
4.7uF;C97,C100,C101;robot:C_0603_1608Metric;GRM188R61E475KE11D;3;Murata
USB4151-GF-C;J4;robot:GCT_USB4151-GF-C_REVA;USB4151-GF-C;1;GCT
0.47uH;L4;robot:Vishay-IHLP-2020BZ-FP_1.905x2.79-3D_2.0-0-0-MFG;IHLP2020BZERR47M01;1;Vishay
100;R1;robot:R_0402_1005Metric;;1;
422;R2;robot:R_0402_1005Metric;;1;
100k;R12;robot:R_0603_1608Metric;WR06X1003FTL;1;Walsin Technology
10;R32,R33;robot:R_0402_1005Metric;RC0402FR-1310RL;2;Yageo
2.2k;R34,R35;robot:R_0603_1608Metric;RMCF0603JT2K20;2;Stackpole Electronics
200k;R36;robot:R_0603_1608Metric;RMCF0603JT200K;1;Stackpole Electronics
649k;R37,R39;robot:R_0603_1608Metric;ERJ-3EKF6493V;2;Panasonic
120k;R38,R40;robot:R_0603_1608Metric;RMCF0603JT120K;2;Stackpole Electronics
0;R57,R75;robot:R_0603_1608Metric;RMCF0603ZT0R00;2;Stackpole Electronics
0;R73,R74;robot:R_0805_2012Metric;RMCF0805ZT0R00;2;Stackpole Electronics
0;R95;robot:R_0603_1608Metric_3pin_Switch;RMCF0603ZT0R00;1;Stackpole Electronics
JS202011JCQN;S4;robot:SW_JS202011JCQN;JS202011JCQN;1;C&K
SMD_0603;TP3,TP4,TP5,TP6,TP7,TP8,TP13,TP14,TP15;robot:TestPoint_SMD_0603;RCUCTE;9;KOA Speer Electronics, Inc.
TPS22950CDDCR;U1;DDC6_TEX;TPS22950CDDCR;1;
MAX77958EWV+T;U11;robot:MAX77958EWV&plus_T;MAX77958EWV+T;1;Maxim
TPD1E05U06;U15,U19,U20,U21,U22,U23;robot:TPD1E05U06DPYR;TPD1E05U06DPYR;6;Texas Instruments
TPS61253AYFFT;U17;robot:Texas_Instruments-YFF0009-BGA9C40P3X3_119X129X62;TPS61253AYFFT;1;Texas Instruments
TVS0500DRV;U24;robot:TVS0500DRVR;TVS0500DRVR;1;Texas Instruments
